2021-12-16 23:01:09,641 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:01:09,641 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:01:09,642 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:01:09,642 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:01:09,643 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:01:09,647 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:01:09,648 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:01:09,648 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:01:09,648 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:01:09,649 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:01:09,653 [Client thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:01:09,654 [Client thread] ERROR GottschCore | LootTableMaster2.java:432 | Unable to locate resource /loot_tables/treasure2/inject/uncommon/
2021-12-16 23:01:09,655 [Client thread] ERROR GottschCore | LootTableMaster2.java:432 | Unable to locate resource /loot_tables/treasure2/inject/scarce/
2021-12-16 23:01:09,656 [Client thread] ERROR GottschCore | LootTableMaster2.java:432 | Unable to locate resource /loot_tables/treasure2/inject/rare/
2021-12-16 23:01:09,656 [Client thread] ERROR GottschCore | LootTableMaster2.java:432 | Unable to locate resource /loot_tables/treasure2/inject/epic/
2021-12-16 23:01:09,684 [Client thread] ERROR GottschCore | AbstractResourceManager.java:173 | Unable to locate resource /structures/treasure2/float/
2021-12-16 23:01:13,303 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/1.12.2-master/update.json
2021-12-16 23:01:14,409 [Client thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/update.json
2021-12-16 23:02:19,811 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,812 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,813 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,817 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,818 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
2021-12-16 23:02:19,818 [Server thread] ERROR GottschCore | LootTableMaster2.java:252 | is file system (config) loot table current -> true
